"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.BK",NA,"","Anchal","Administrative Zone","",""
2,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.DH",NA,"","Anchal","Administrative Zone","",""
3,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.KT",NA,"","Anchal","Administrative Zone","",""
4,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.KV",NA,"","Anchal","Administrative Zone","",""
5,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.LL",NA,"","Anchal","Administrative Zone","",""
6,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.NU",NA,"","Anchal","Administrative Zone","",""
7,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.RS",NA,"","Anchal","Administrative Zone","",""
8,157,"NPL","Nepal",1,"Central",1,"Bagmati","NP.MM.SP",NA,"","Anchal","Administrative Zone","",""
9,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.DN",NA,"","Anchal","Administrative Zone","",""
10,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.DO",NA,"","Anchal","Administrative Zone","",""
11,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.MH",NA,"","Anchal","Administrative Zone","",""
12,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.RM",NA,"","Anchal","Administrative Zone","",""
13,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.SA",NA,"","Anchal","Administrative Zone","",""
14,157,"NPL","Nepal",1,"Central",2,"Janakpur","NP.MM.SI",NA,"","Anchal","Administrative Zone","",""
15,157,"NPL","Nepal",1,"Central",3,"Narayani","",NA,"","Anchal","Administrative Zone","",""
16,157,"NPL","Nepal",1,"Central",3,"Narayani","NP.MM.BA",NA,"","Anchal","Administrative Zone","",""
17,157,"NPL","Nepal",1,"Central",3,"Narayani","NP.MM.MK",NA,"","Anchal","Administrative Zone","",""
18,157,"NPL","Nepal",1,"Central",3,"Narayani","NP.MM.PR",NA,"","Anchal","Administrative Zone","",""
19,157,"NPL","Nepal",1,"Central",3,"Narayani","NP.MM.RT",NA,"","Anchal","Administrative Zone","",""
20,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.BJ",NA,"","Anchal","Administrative Zone","",""
21,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.DK",NA,"","Anchal","Administrative Zone","",""
22,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.MO",NA,"","Anchal","Administrative Zone","",""
23,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.SN",NA,"","Anchal","Administrative Zone","",""
24,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.SS",NA,"","Anchal","Administrative Zone","",""
25,157,"NPL","Nepal",2,"East",4,"Koshi","NP.PW.TR",NA,"","Anchal","Administrative Zone","",""
26,157,"NPL","Nepal",2,"East",5,"Mechi","NP.PW.IL",NA,"","Anchal","Administrative Zone","",""
27,157,"NPL","Nepal",2,"East",5,"Mechi","NP.PW.JH",NA,"","Anchal","Administrative Zone","",""
28,157,"NPL","Nepal",2,"East",5,"Mechi","NP.PW.PN",NA,"","Anchal","Administrative Zone","",""
29,157,"NPL","Nepal",2,"East",5,"Mechi","NP.PW.TP",NA,"","Anchal","Administrative Zone","",""
30,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.KH",NA,"","Anchal","Administrative Zone","",""
31,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.OK",NA,"","Anchal","Administrative Zone","",""
32,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.SO",NA,"","Anchal","Administrative Zone","",""
33,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.SR",NA,"","Anchal","Administrative Zone","",""
34,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.ST",NA,"","Anchal","Administrative Zone","",""
35,157,"NPL","Nepal",2,"East",6,"Sagarmatha","NP.PW.UD",NA,"","Anchal","Administrative Zone","",""
36,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali","NP.SP.BT",NA,"","Anchal","Administrative Zone","",""
37,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali","NP.SP.DD",NA,"","Anchal","Administrative Zone","",""
38,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali","NP.SP.DR",NA,"","Anchal","Administrative Zone","",""
39,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali","NP.SP.KN",NA,"","Anchal","Administrative Zone","",""
